Strategy,Benefit,Cost,Feasibility,Exp.Benefit,CE,CE_rank,ExpBenefit_rank,Cost_rank
S1,357.6883979024941,1535127.07,0.8525,304.92935921187626,198.6346050245054,1,5,3
S2,321.00670812670893,2945165.9,0.9217,295.8718828803876,100.4601753946654,3,7,4
S3,468.7556001350531,25998802.93,0.6167,289.08157860328726,11.119034187136217,10,8,13
S4,323.956168791783,30166363.69,0.525,170.07698861568608,5.637967849338956,15,12,14
S5,196.72028148931767,136569590.7,0.5375,105.73715130050824,0.7742364223143875,22,14,18
S6,314.2754052030551,498094558.6,0.4083,128.3186479444074,0.25761905190266293,23,13,22
S7,80.1765498192276,15466504.72,0.45,36.07944741865242,2.3327473189205747,18,23,11
S8,158.0141654254722,7691338.91,0.52,82.16736602124556,10.683103030918911,11,18,8
S9,140.91339934824296,12635564.99,0.5233,73.73998187893554,5.835906976640507,14,19,10
S10,116.97927031509118,3261560.9,0.75,87.73445273631839,26.8995292212138,5,17,5
S11,47.400000000000006,1022670.12,0.81,38.394000000000005,37.54289799725449,4,22,2
S12,68.625,447493.81,0.966,66.29175,148.14003795940775,2,20,1
S13,152.0785983829678,24067593.66,0.6416,97.57362872251214,4.054149745958115,16,16,12
S14,95.8784015276253,4615485.98,0.4969,47.64197771907701,10.322201806163216,12,21,6
S15,186.227024461936,6595151.4,0.5625,104.752701259839,15.88328984530044,8,15,7
S16,413.23239840372725,10947044.98,0.6407,264.75799765726805,24.18533934417688,6,9,9
S17,641.0625194520463,30479095.9,0.7969,510.86272175133576,16.761085152507288,7,3,15
S18,453.7489442166886,187062858.3,0.5265,238.89881913008654,1.2771045054115187,19,10,20
S19,556.6659213058058,40700040.01,0.5433,302.4365950454443,7.4308672662517194,13,6,17
S20,272.63300721274015,139831151.6,0.6438,175.52113004356212,1.2552362476828955,20,11,19
S21,565.5750345500352,32149415.98,0.6553,370.62132014063803,11.528088733282116,9,4,16
S22,1036.23200626635,283965459.6999999,0.6542933333333334,677.9996934866978,2.3876132477625336,17,2,21
S23,1071.5763428509472,645490427.5999999,0.64568,691.8954130519996,1.0718910513120052,21,1,23
