Ecological.Group,Strategy,Wt.Best.guess,Wt.Lower,Wt.Upper
Migratory Fish,Baseline,37.208955223880594,19.884239876384413,57.44820317153388
Migratory Fish,S1,40.64440298507462,22.208468732105807,61.08723302228015
Migratory Fish,S2,40.097865671641785,21.69357562620673,60.23492086876203
Migratory Fish,S3,41.074835820895515,22.884069098693917,60.41684328674729
Migratory Fish,S4,44.96641791044776,25.846746230064927,64.5592239191888
Migratory Fish,S5,44.96660447761194,26.397695156375434,65.93632805463716
Migratory Fish,S6,51.63352388059701,32.637968936963865,70.92163991496605
Migratory Fish,S7,40.02985074626865,21.11369784967585,61.14253601857686
Migratory Fish,S8,39.30447761194029,22.160156533699343,59.728866022691626
Migratory Fish,S9,41.89522388059701,22.648433681793456,62.05523199732971
Migratory Fish,S10,49.42164179104477,30.260095560370495,70.4610749031016
Migratory Fish,S11,37.208955223880594,19.884239876384413,57.44820317153388
Migratory Fish,S12,37.208955223880594,19.884239876384413,57.44820317153388
Migratory Fish,S13,42.207689552238804,22.750739618276455,62.13272558203776
Migratory Fish,S14,39.43388059701492,20.430935825211705,59.41885135916714
Migratory Fish,S15,40.231343283582085,21.69692017238341,60.656844837155354
Migratory Fish,S16,47.36452835820895,25.589113396004358,67.33098808905156
Migratory Fish,S17,44.345373134328355,25.107477747180805,65.2693475623617
Migratory Fish,S18,46.929559701492536,26.488129002183985,66.63454397503517
Migratory Fish,S19,46.20989552238805,25.52193510699826,66.12978476731438
Migratory Fish,S20,52.074008955223874,32.51411576012361,73.31540109320373
Migratory Fish,S21,42.197059701492535,23.556204466965344,63.41946600772885
Migratory Fish,S22,55.254318676892574,37.01128612917455,73.40253702220505
Migratory Fish,S23,61.75443223880596,43.092315540522804,78.23072484376742
Riparian Species,Baseline,50.68181818181819,33.84476960947549,64.36595104242163
Riparian Species,S1,58.95494318181819,42.38983344270109,75.90429582264142
Riparian Species,S2,62.035486363636366,43.302914465599756,78.28163625165683
Riparian Species,S3,59.23152272727273,41.894155628032095,74.26051442968796
Riparian Species,S4,57.769318181818186,40.55681369284311,72.4161618610148
Riparian Species,S5,56.97301136363637,39.96617192039986,71.13369014563867
Riparian Species,S6,56.43513636363637,40.277807997558,69.7176927791163
Riparian Species,S7,52.62500000000001,36.54217220687809,66.94809389956448
Riparian Species,S8,54.038181818181826,37.77343780402604,69.14130457777516
Riparian Species,S9,52.406329545454554,36.89645345846964,66.27808817636611
Riparian Species,S10,50.68181818181819,33.84476960947549,64.36595104242163
Riparian Species,S11,50.68181818181819,33.84476960947549,64.36595104242163
Riparian Species,S12,50.68181818181819,33.84476960947549,64.36595104242163
Riparian Species,S13,51.55672727272728,36.14545647816236,65.87042434689494
Riparian Species,S14,52.80493636363637,35.65120176359588,66.98431454558514
Riparian Species,S15,52.76562500000001,36.58231974316533,66.7498796138502
Riparian Species,S16,56.65197727272728,37.98869545585134,71.19066127108185
Riparian Species,S17,62.00142045454546,41.94716254089048,76.70636664169164
Riparian Species,S18,60.25454545454546,42.08662274163745,74.24356792553851
Riparian Species,S19,58.58436363636364,38.48139396844985,72.63720958388016
Riparian Species,S20,57.55877272727273,39.15960337570926,70.75332030649089
Riparian Species,S21,61.77723863636364,41.84826368484457,75.01628539418098
Riparian Species,S22,66.54906459112965,45.495720295667994,79.83456630257697
Riparian Species,S23,65.79660000000001,45.657286492331195,78.19990843169901
Aquatic Species,Baseline,52.77777777777777,28.96214896214896,69.50278116944783
Aquatic Species,S1,57.513888888888886,33.21423992673992,72.85610975444308
Aquatic Species,S2,56.46457777777777,33.92339834486501,72.09719598426264
Aquatic Species,S3,56.546499999999995,35.01218428978429,70.59620842490841
Aquatic Species,S4,55.694444444444436,32.91727716727716,72.14487518654184
Aquatic Species,S5,58.15277777777777,35.53939594356261,75.41892721476054
Aquatic Species,S6,55.953444444444436,34.15171700304053,74.54150170381543
Aquatic Species,S7,52.77777777777777,28.96214896214896,69.50278116944783
Aquatic Species,S8,53.06666666666666,30.637704517704513,69.79167005833672
Aquatic Species,S9,57.1386111111111,35.938488373355035,74.58576992266991
Aquatic Species,S10,56.11111111111111,34.56257631257631,72.59761226427892
Aquatic Species,S11,52.77777777777777,28.96214896214896,69.50278116944783
Aquatic Species,S12,52.77777777777777,28.96214896214896,69.50278116944783
Aquatic Species,S13,57.41155555555555,33.577908669108666,73.71699190685857
Aquatic Species,S14,53.05383333333333,29.238204517704514,69.50278116944783
Aquatic Species,S15,55.90277777777777,33.553944013502836,71.4099940546019
Aquatic Species,S16,57.760999999999996,35.53977629900963,75.57078646045312
Aquatic Species,S17,59.418611111111105,35.99705372405372,74.46916229819563
Aquatic Species,S18,60.38277777777777,35.64179181929181,76.46299545516212
Aquatic Species,S19,59.11627777777777,33.56763178673178,75.32304851321517
Aquatic Species,S20,59.215777777777774,36.25060081400081,77.01343180029846
Aquatic Species,S21,57.874555555555546,35.04761094831095,71.19512831366164
Aquatic Species,S22,67.38897480971345,43.17272887280694,79.98594249523633
Aquatic Species,S23,64.97395555555555,41.58325113521192,78.96120195934783
Wetland Species,Baseline,56.94915254237288,40.893582987301826,71.33826846688262
Wetland Species,S1,64.10148305084745,47.26202180394104,79.74377419329313
Wetland Species,S2,60.83903898305084,45.19098403368648,76.55522329288083
Wetland Species,S3,61.49600847457627,45.24783151351805,75.78322280898452
Wetland Species,S4,63.37372881355932,45.264790135089235,77.13062217498907
Wetland Species,S5,59.45444915254237,42.51389170400885,72.73299203427568
Wetland Species,S6,58.160211864406776,41.893736740328464,72.16706144509085
Wetland Species,S7,58.108474576271185,41.86640101673002,72.53220588539631
Wetland Species,S8,62.65152542372881,45.623209233042466,76.83234913215497
Wetland Species,S9,59.62773898305085,42.99655350653777,73.88507960489716
Wetland Species,S10,56.94915254237288,40.893582987301826,71.33826846688262
Wetland Species,S11,56.94915254237288,40.893582987301826,71.33826846688262
Wetland Species,S12,56.94915254237288,40.893582987301826,71.33826846688262
Wetland Species,S13,58.058359322033894,41.447668540167044,73.11962762749602
Wetland Species,S14,59.05466101694915,43.40640323315767,74.84791200695837
Wetland Species,S15,57.425847457627114,41.78265683718076,72.53227573080514
Wetland Species,S16,58.30656779661017,42.23462307339276,72.77583585994154
Wetland Species,S17,66.79559491525424,49.44438904911638,79.62751971314384
Wetland Species,S18,64.98943220338982,47.99453184074151,78.23300746417645
Wetland Species,S19,63.1740813559322,45.903659965962916,76.91381694963948
Wetland Species,S20,60.16815254237288,42.8471735014736,73.3297601347362
Wetland Species,S21,64.1685593220339,47.3147311615824,78.45086812005984
Wetland Species,S22,71.47133637068654,50.877794992895005,82.79560463731342
Wetland Species,S23,69.97218983050847,50.119623490067035,82.07284024488196
"Grassland, Open, or Agricult Assoc",Baseline,45.17241379310345,25.329541672874647,62.66723166872628
"Grassland, Open, or Agricult Assoc",S1,50.466887477313975,28.8620021002589,67.83341100250965
"Grassland, Open, or Agricult Assoc",S2,46.045603266787666,25.67881746234833,63.24169842772905
"Grassland, Open, or Agricult Assoc",S3,57.37658221415609,32.71276095265304,72.42138264933115
"Grassland, Open, or Agricult Assoc",S4,48.41083484573503,28.125649706115645,65.80155707201779
"Grassland, Open, or Agricult Assoc",S5,45.17241379310345,25.329541672874647,62.66723166872628
"Grassland, Open, or Agricult Assoc",S6,45.17241379310345,25.329541672874647,62.66723166872628
"Grassland, Open, or Agricult Assoc",S7,45.79294010889293,25.98594908817403,63.42930597213186
"Grassland, Open, or Agricult Assoc",S8,46.14230143355289,26.108820820693122,63.71927414046472
"Grassland, Open, or Agricult Assoc",S9,45.93257589836661,26.24916183692113,64.06758676100243
"Grassland, Open, or Agricult Assoc",S10,45.17241379310345,25.329541672874647,62.66723166872628
"Grassland, Open, or Agricult Assoc",S11,45.17241379310345,25.329541672874647,62.70313194573459
"Grassland, Open, or Agricult Assoc",S12,45.17241379310345,25.329541672874647,62.710046073158416
"Grassland, Open, or Agricult Assoc",S13,47.83468505747127,27.34558081582486,65.38717994066003
"Grassland, Open, or Agricult Assoc",S14,46.40158747731398,26.809780620243068,63.782347029419036
"Grassland, Open, or Agricult Assoc",S15,51.123071687840294,30.62894884465024,68.27093561713245
"Grassland, Open, or Agricult Assoc",S16,53.23639655172414,30.114911287228836,69.96545802162323
"Grassland, Open, or Agricult Assoc",S17,61.907313793103455,35.24021813834172,75.57470259123379
"Grassland, Open, or Agricult Assoc",S18,49.13501905626135,28.607977595498543,66.16064293761056
"Grassland, Open, or Agricult Assoc",S19,53.51063905626135,30.546488507369794,70.65022467785175
"Grassland, Open, or Agricult Assoc",S20,45.34183484573503,25.498962725506228,62.74097965634238
"Grassland, Open, or Agricult Assoc",S21,57.485155898366614,32.45553371086436,72.72428385521016
"Grassland, Open, or Agricult Assoc",S22,62.99626666666667,37.61154709714943,78.4501844188233
"Grassland, Open, or Agricult Assoc",S23,62.7616275862069,37.44986272512299,78.24241242101267
Mature Forest and Peatland Species,Baseline,52.5,37.10775335775336,70.45711233211233
Mature Forest and Peatland Species,S1,63.6890625,45.022523656898656,75.54843177655678
Mature Forest and Peatland Species,S2,65.7494375,46.10811446886447,75.38072344322345
Mature Forest and Peatland Species,S3,59.052437499999996,41.97678434065934,73.779216498779
Mature Forest and Peatland Species,S4,54.46875,38.456711691086696,73.06648733211233
Mature Forest and Peatland Species,S5,52.5,37.10775335775336,70.45711233211233
Mature Forest and Peatland Species,S6,52.5,37.10775335775336,70.45711233211233
Mature Forest and Peatland Species,S7,52.5,37.10775335775336,70.45711233211233
Mature Forest and Peatland Species,S8,54.125,37.5771978021978,72.35552503052503
Mature Forest and Peatland Species,S9,52.5,37.10775335775336,70.45711233211233
Mature Forest and Peatland Species,S10,52.5,37.10775335775336,70.45711233211233
Mature Forest and Peatland Species,S11,52.5,37.10775335775336,70.45711233211233
Mature Forest and Peatland Species,S12,54.31125,38.31525335775336,70.45711233211233
Mature Forest and Peatland Species,S13,54.104,39.380086691086696,71.392778998779
Mature Forest and Peatland Species,S14,52.8105625,37.998032524420026,71.347391498779
Mature Forest and Peatland Species,S15,53.203125,38.27962835775336,71.62898733211233
Mature Forest and Peatland Species,S16,59.3074375,42.58039919108669,75.52932066544567
Mature Forest and Peatland Species,S17,65.9476875,43.75527617521368,77.60330578449329
Mature Forest and Peatland Species,S18,55.790625,38.89931585775336,73.22019268925519
Mature Forest and Peatland Species,S19,59.29125,41.06931585775336,75.68872678016427
Mature Forest and Peatland Species,S20,52.5,37.10775335775336,70.45711233211233
Mature Forest and Peatland Species,S21,61.9199375,42.32704983211234,74.50723038766789
Mature Forest and Peatland Species,S22,64.35906666666666,45.26395115995116,78.3951124949125
Mature Forest and Peatland Species,S23,64.20295,45.15658028083028,78.29061404151403
Forest Openings and Young Forest Species,Baseline,45.5,22.888999888999887,63.00502304712831
Forest Openings and Young Forest Species,S1,56.15625,31.462999053578,71.73239710727869
Forest Openings and Young Forest Species,S2,63.934,41.04668535265903,76.10248714829031
Forest Openings and Young Forest Species,S3,51.54366,27.861208534973798,67.34364162644373
Forest Openings and Young Forest Species,S4,46.2875,23.01649988899989,63.31252304712831
Forest Openings and Young Forest Species,S5,45.5,22.888999888999887,63.00502304712831
Forest Openings and Young Forest Species,S6,45.5,22.888999888999887,63.00502304712831
Forest Openings and Young Forest Species,S7,45.5,22.888999888999887,63.00502304712831
Forest Openings and Young Forest Species,S8,45.77368421052632,23.293009914062544,63.53935888672731
Forest Openings and Young Forest Species,S9,46.0233,23.661490365190364,64.02670399950927
Forest Openings and Young Forest Species,S10,45.5,22.888999888999887,63.00502304712831
Forest Openings and Young Forest Species,S11,45.5,22.888999888999887,63.00502304712831
Forest Openings and Young Forest Species,S12,46.949,23.117789362684096,64.04728620502304
Forest Openings and Young Forest Species,S13,45.5,22.888999888999887,63.00502304712831
Forest Openings and Young Forest Species,S14,45.5,23.172942746142745,63.288965904271166
Forest Openings and Young Forest Species,S15,46.0625,23.64435703185703,63.9532373328426
Forest Openings and Young Forest Species,S16,49.9849,26.04566509367825,67.42585304712831
Forest Openings and Young Forest Species,S17,62.39428,37.77646537772169,74.38764020213705
Forest Openings and Young Forest Species,S18,46.553,23.046114174714173,63.342651618556886
Forest Openings and Young Forest Species,S19,50.933,27.83470926243347,68.59325161855688
Forest Openings and Young Forest Species,S20,45.5,22.888999888999887,63.00502304712831
Forest Openings and Young Forest Species,S21,54.6742,29.72714234963866,68.88582860297598
Forest Openings and Young Forest Species,S22,59.56730666666667,37.18473528081276,73.71542775222439
Forest Openings and Young Forest Species,S23,59.38212,36.996541503034976,73.57443245063709
Bats,Baseline,26.5,13.077777777777778,42.622612681436216
Bats,S1,31.18875,18.36327777777778,45.70108490365844
Bats,S2,27.97472,15.294584444444444,42.81719379254733
Bats,S3,27.48672,13.712097777777778,42.71854379254733
Bats,S4,26.5,13.340277777777777,42.622612681436216
Bats,S5,26.5,13.077777777777778,42.622612681436216
Bats,S6,26.5,13.077777777777778,42.622612681436216
Bats,S7,26.5,13.077777777777778,42.622612681436216
Bats,S8,26.5,13.337777777777777,42.622612681436216
Bats,S9,26.5,13.339427777777777,42.622612681436216
Bats,S10,26.875,13.099836601307189,42.64467150496563
Bats,S11,39.298,24.48728197945845,53.749259740259745
Bats,S12,26.5,13.077777777777778,42.622612681436216
Bats,S13,26.5,13.077777777777778,42.622612681436216
Bats,S14,26.5,13.326227777777778,42.622612681436216
Bats,S15,27.0625,14.090277777777777,43.35386268143622
Bats,S16,26.5,13.077777777777778,42.622612681436216
Bats,S17,30.88295,17.567273015873017,45.61621985315339
Bats,S18,26.5,13.341027777777777,42.622612681436216
Bats,S19,27.31495,14.071697189542483,43.34488209320092
Bats,S20,26.8219,13.096713071895424,42.64154797555386
Bats,S21,30.75945,18.86393134381958,44.98897379254733
Bats,S22,38.146421333333336,24.463821098326513,52.59181933938829
Bats,S23,37.993104,24.31393146706888,52.46058141346236
Forest Trees,Baseline,16.875,2.46031746031746,35.53769841269841
Forest Trees,S1,17.4078125,4.701512896825396,38.66860615079365
Forest Trees,S2,22.635625,6.626255158730157,41.71528293650793
Forest Trees,S3,18.0313125,4.353243849206349,37.995933134920634
Forest Trees,S4,17.203125,2.52594246031746,35.60332341269841
Forest Trees,S5,16.875,2.46031746031746,35.53769841269841
Forest Trees,S6,16.875,2.46031746031746,35.53769841269841
Forest Trees,S7,16.875,2.46031746031746,35.53769841269841
Forest Trees,S8,17.2,2.52531746031746,35.60269841269841
Forest Trees,S9,16.875,2.46031746031746,35.53769841269841
Forest Trees,S10,16.875,3.1299603174603168,35.68055555555556
Forest Trees,S11,16.875,3.183531746031745,35.691984126984124
Forest Trees,S12,31.96875,8.309984126984126,44.02086507936508
Forest Trees,S13,16.875,2.46031746031746,35.53769841269841
Forest Trees,S14,16.875,2.46031746031746,35.53769841269841
Forest Trees,S15,16.875,2.46031746031746,35.53769841269841
Forest Trees,S16,18.0763125,2.8607549603174602,37.16614424603175
Forest Trees,S17,21.855625,5.564116468253967,40.87882579365079
Forest Trees,S18,17.2040625,2.52612996031746,35.60351091269841
Forest Trees,S19,18.233249999999998,2.498046626984127,37.2452126984127
Forest Trees,S20,21.7035,5.14281746031746,39.650865079365076
Forest Trees,S21,18.1036875,4.471724404761904,38.149797023809526
Forest Trees,S22,27.916200000000003,9.83280126984127,46.37767724867725
Forest Trees,S23,27.770850000000003,9.73574746031746,46.23497619047619
